TID,TEACHER,MAIL,FILE
MT,Melanie Truthahn,mt@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Truthahn_M.xlsx
AFM,Anton Mitläufer,afm@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Mitlaeufer_A.xlsx
KK,Karl Kampe,kk@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Kampe_K.xlsx
PB,Petra Blume,pb@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Blume_P.xlsx
AK,Armin Keller,ak@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Keller_A.xlsx
CH,Claudia Hahn,ch@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Hahn_C.xlsx
BW,Bela Wehmut,bw@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Wehmut_B.xlsx
BS,Barbara Steinbrück,bs@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Steinbrueck_B.xlsx
KW,Karin Wohltat,kw@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Wohltat_K.xlsx
MF,Michael Floskel,mf@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Floskel_M.xlsx
MFN,Martin Fürst-Neumann,mfn@mail.de,/home/mt/Programming/Projects/zeugs/DefaultData/Schuljahre/SCHULJAHR_2016/Z_2016-06-22/Noten-Lehrer/Formulare/Noten_2016-06-22_Fuerst_M.xlsx
