:::::: Sheet
	Noten, Einsendeschluss 2016-01-18																																									
#	Schuljahr	2016																																								
#	Klasse	12.Gym																																								
#	Halbjahr	1																																								
																																										
id	Schüler(in)	Maßstab		De	En	Ma	Fr	AWT	Bio	Ch		Geo	Ges	Mu		Ph	Rel	Soz	Sp		_Ku		Bb	FK	Kge	Ktr	Mal	Pls	Snt	Sth	Web		Eu		_MITTEL	_DEM		_V12	_V13	_GS	_Q12	_BB
	0 – 15 Punkte			Deutsch	Englisch	Mathematik	Französisch	Arbeit-Wirtschaft-Technik	Biologie	Chemie		Geographie	Geschichte	Musik		Physik	Religion	Sozialkunde	Sport		Kunst		Buchbinden	Freie Kunst	Kunstgeschichte	Kupfertreiben	Malen	Plastizieren	Schnitzen	Steinhauen	Weben		Eurythmie		Φ Alle Fächer	Φ De-En-Ma		Versetzung → Quali	Versetzung → Quali 2	Gleichstellungs-vermerk	Abschluss 12.Kl.	„Blauer Brief“
																																										
200651	Renate Astrein	Gym		12	13	03	11	/	05	/		12	13	nt				nt	14		13			13	14					12			14		10.7	/					/	
201052	Robin Dürre	Gym		08	05	00	04	/	08	03		06	07	13				10	14		12			nt	nt					nt			13		7.5	/					/	
200404	Hermione Harnisch	Gym		12	13	03	11	/	nt	07		12	13	nt				14	14		14			13	14					12			14		11.3	/					/	
200408	Kevin Mandelbrot	Gym		08	07	02	02	/	03	nt		08	07	nt				12	12		12			/	11					12			11		7.3	/					/	
200853	Stefan von Stelzingen	Gym		08	07	02	04	/	02	nt		08	07	nt				05	02		04			/	11					01			11		4.9	/					/	
